home,game_date,Target label,fg_pct_home,fg3_pct_home,oreb_home,dreb_home,ast_home,stl_home,blk_home,tov_home,pts_home,away,fg_pct_away,fg3_pct_away,oreb_away,dreb_away,ast_away,stl_away,blk_away,pts_away,season_type
Philadelphia 76ers,2018-10-29,W,0.414,0.298,16.0,48.0,33.0,7.0,9.0,19.0,113,Atlanta Hawks,0.372,0.216,10.0,37.0,20.0,10.0,3.0,92,Regular Season
Charlotte Hornets,2018-10-30,W,0.543,0.464,8.0,31.0,27.0,7.0,5.0,14.0,125,Miami Heat,0.471,0.393,10.0,24.0,25.0,9.0,5.0,113,Regular Season
Cleveland Cavaliers,2018-10-30,W,0.5,0.52,13.0,35.0,23.0,13.0,1.0,13.0,136,Atlanta Hawks,0.537,0.429,6.0,33.0,25.0,6.0,8.0,114,Regular Season
Houston Rockets,2018-10-30,L,0.323,0.233,20.0,29.0,18.0,7.0,9.0,12.0,85,Portland Trail Blazers,0.475,0.4,7.0,44.0,17.0,4.0,4.0,104,Regular Season
Boston Celtics,2018-10-30,W,0.44,0.29,8.0,38.0,25.0,8.0,4.0,14.0,108,Detroit Pistons,0.42,0.267,11.0,39.0,17.0,6.0,3.0,105,Regular Season
Oklahoma City Thunder,2018-10-30,W,0.511,0.529,9.0,32.0,19.0,16.0,6.0,17.0,128,LA Clippers,0.473,0.35,6.0,32.0,18.0,6.0,7.0,110,Regular Season
Memphis Grizzlies,2018-10-30,W,0.486,0.464,6.0,32.0,28.0,16.0,3.0,17.0,107,Washington Wizards,0.432,0.4,5.0,32.0,24.0,9.0,7.0,95,Regular Season
Orlando Magic,2018-10-30,L,0.396,0.256,11.0,37.0,28.0,10.0,8.0,17.0,99,Sacramento Kings,0.488,0.364,8.0,43.0,22.0,8.0,6.0,107,Regular Season
Toronto Raptors,2018-10-30,W,0.511,0.407,9.0,34.0,29.0,13.0,6.0,16.0,129,Philadelphia 76ers,0.418,0.35,17.0,30.0,25.0,7.0,5.0,112,Regular Season
Phoenix Suns,2018-10-31,L,0.389,0.25,7.0,28.0,21.0,10.0,3.0,15.0,90,San Antonio Spurs,0.554,0.222,6.0,41.0,24.0,7.0,6.0,120,Regular Season
Golden State Warriors,2018-10-31,W,0.528,0.5,12.0,34.0,39.0,10.0,4.0,17.0,131,New Orleans Pelicans,0.478,0.343,12.0,30.0,24.0,8.0,2.0,121,Regular Season
Minnesota Timberwolves,2018-10-31,W,0.581,0.48,7.0,34.0,19.0,10.0,8.0,16.0,128,Utah Jazz,0.485,0.433,20.0,28.0,25.0,9.0,5.0,125,Regular Season
New York Knicks,2018-10-31,L,0.43,0.48,9.0,26.0,18.0,6.0,6.0,17.0,101,Indiana Pacers,0.542,0.3,10.0,31.0,24.0,10.0,10.0,107,Regular Season
Brooklyn Nets,2018-10-31,W,0.426,0.316,18.0,37.0,26.0,5.0,3.0,16.0,120,Detroit Pistons,0.419,0.324,14.0,41.0,16.0,8.0,6.0,119,Regular Season
Chicago Bulls,2018-10-31,L,0.424,0.471,10.0,33.0,27.0,7.0,6.0,14.0,107,Denver Nuggets,0.455,0.269,17.0,39.0,24.0,7.0,9.0,108,Regular Season
Los Angeles Lakers,2018-10-31,W,0.512,0.588,8.0,31.0,23.0,12.0,6.0,20.0,114,Dallas Mavericks,0.5,0.448,10.0,30.0,24.0,5.0,5.0,113,Regular Season
Portland Trail Blazers,2018-11-01,W,0.506,0.514,8.0,38.0,26.0,4.0,4.0,14.0,132,New Orleans Pelicans,0.426,0.276,14.0,30.0,23.0,7.0,3.0,119,Regular Season
Boston Celtics,2018-11-01,W,0.446,0.436,8.0,34.0,30.0,5.0,8.0,13.0,117,Milwaukee Bucks,0.482,0.31,8.0,37.0,20.0,8.0,3.0,113,Regular Season
Cleveland Cavaliers,2018-11-01,L,0.41,0.278,13.0,22.0,18.0,11.0,4.0,14.0,91,Denver Nuggets,0.482,0.385,14.0,30.0,22.0,8.0,7.0,110,Regular Season
Charlotte Hornets,2018-11-01,L,0.409,0.268,11.0,40.0,26.0,7.0,3.0,18.0,107,Oklahoma City Thunder,0.427,0.216,14.0,35.0,20.0,12.0,9.0,111,Regular Season
Atlanta Hawks,2018-11-01,L,0.483,0.258,10.0,33.0,26.0,6.0,6.0,22.0,115,Sacramento Kings,0.541,0.4,10.0,36.0,38.0,14.0,3.0,146,Regular Season
Philadelphia 76ers,2018-11-01,W,0.473,0.481,10.0,33.0,29.0,7.0,7.0,16.0,122,LA Clippers,0.442,0.391,8.0,34.0,19.0,6.0,7.0,113,Regular Season
Washington Wizards,2018-11-02,L,0.512,0.3,6.0,24.0,27.0,6.0,4.0,19.0,111,Oklahoma City Thunder,0.57,0.469,7.0,31.0,34.0,13.0,5.0,134,Regular Season
Orlando Magic,2018-11-02,L,0.444,0.235,8.0,32.0,20.0,7.0,4.0,10.0,95,LA Clippers,0.477,0.5,10.0,40.0,22.0,5.0,3.0,120,Regular Season
Phoenix Suns,2018-11-02,L,0.44,0.308,12.0,37.0,20.0,3.0,4.0,16.0,98,Toronto Raptors,0.506,0.364,6.0,33.0,29.0,11.0,10.0,107,Regular Season
Dallas Mavericks,2018-11-02,L,0.494,0.379,11.0,29.0,22.0,6.0,1.0,19.0,106,New York Knicks,0.548,0.241,10.0,30.0,26.0,13.0,4.0,118,Regular Season
Brooklyn Nets,2018-11-02,L,0.494,0.441,9.0,29.0,22.0,5.0,4.0,12.0,111,Houston Rockets,0.494,0.385,11.0,30.0,22.0,4.0,10.0,119,Regular Season
Chicago Bulls,2018-11-02,L,0.472,0.419,11.0,32.0,33.0,2.0,7.0,14.0,105,Indiana Pacers,0.471,0.269,9.0,33.0,21.0,8.0,9.0,107,Regular Season
Golden State Warriors,2018-11-02,W,0.489,0.382,12.0,49.0,31.0,3.0,9.0,16.0,116,Minnesota Timberwolves,0.376,0.289,8.0,31.0,25.0,8.0,4.0,99,Regular Season
Utah Jazz,2018-11-02,L,0.468,0.389,10.0,29.0,21.0,3.0,5.0,14.0,100,Memphis Grizzlies,0.507,0.5,9.0,30.0,23.0,9.0,3.0,110,Regular Season
Indiana Pacers,2018-11-03,W,0.419,0.344,8.0,37.0,23.0,10.0,2.0,13.0,102,Boston Celtics,0.432,0.413,10.0,35.0,23.0,6.0,8.0,101,Regular Season
Atlanta Hawks,2018-11-03,W,0.523,0.406,8.0,29.0,33.0,11.0,7.0,18.0,123,Miami Heat,0.482,0.4,13.0,28.0,27.0,6.0,6.0,118,Regular Season
Philadelphia 76ers,2018-11-03,W,0.406,0.31,3.0,42.0,21.0,11.0,3.0,18.0,109,Detroit Pistons,0.398,0.167,7.0,37.0,16.0,8.0,3.0,99,Regular Season
Charlotte Hornets,2018-11-03,W,0.571,0.333,12.0,38.0,29.0,3.0,7.0,15.0,126,Cleveland Cavaliers,0.432,0.385,3.0,23.0,22.0,10.0,2.0,94,Regular Season
Denver Nuggets,2018-11-03,W,0.494,0.321,8.0,40.0,32.0,8.0,0.0,17.0,103,Utah Jazz,0.407,0.194,10.0,30.0,22.0,12.0,7.0,88,Regular Season
Portland Trail Blazers,2018-11-03,L,0.423,0.171,16.0,34.0,20.0,10.0,5.0,14.0,110,Los Angeles Lakers,0.523,0.381,9.0,41.0,20.0,9.0,11.0,114,Regular Season
Chicago Bulls,2018-11-03,L,0.394,0.261,4.0,33.0,15.0,13.0,4.0,19.0,88,Houston Rockets,0.422,0.31,10.0,35.0,21.0,13.0,5.0,96,Regular Season
San Antonio Spurs,2018-11-03,W,0.469,0.348,8.0,35.0,29.0,8.0,4.0,9.0,109,New Orleans Pelicans,0.468,0.286,6.0,42.0,22.0,3.0,8.0,95,Regular Season
San Antonio Spurs,2018-11-04,L,0.432,0.343,10.0,33.0,25.0,3.0,5.0,11.0,110,Orlando Magic,0.505,0.375,11.0,32.0,29.0,7.0,4.0,117,Regular Season
Brooklyn Nets,2018-11-04,W,0.476,0.321,15.0,23.0,27.0,11.0,3.0,9.0,122,Philadelphia 76ers,0.477,0.2,9.0,37.0,16.0,6.0,1.0,97,Regular Season
Portland Trail Blazers,2018-11-04,W,0.442,0.25,17.0,49.0,15.0,7.0,1.0,17.0,111,Minnesota Timberwolves,0.312,0.233,13.0,25.0,18.0,9.0,4.0,81,Regular Season
Phoenix Suns,2018-11-04,W,0.516,0.438,5.0,32.0,25.0,7.0,3.0,25.0,102,Memphis Grizzlies,0.474,0.304,9.0,21.0,19.0,13.0,3.0,100,Regular Season
Washington Wizards,2018-11-04,W,0.434,0.231,15.0,32.0,21.0,12.0,11.0,13.0,108,New York Knicks,0.419,0.185,15.0,36.0,19.0,5.0,5.0,95,Regular Season
