date,home,away,team,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,win
2018-11-02,PHX,TOR,PHX,98,44.0,30.8,12,37,20,3,4,0
2018-11-02,PHX,TOR,TOR,107,50.6,36.4,6,33,29,11,10,1
2018-11-02,UTA,MEM,UTA,100,46.8,38.9,10,29,21,3,5,0
2018-11-02,UTA,MEM,MEM,110,50.7,50.0,9,30,23,9,3,1
2018-11-02,WAS,OKC,WAS,111,51.2,30.0,6,24,27,6,4,0
2018-11-02,WAS,OKC,OKC,134,57.0,46.9,7,31,34,13,5,1
2018-11-03,ATL,MIA,ATL,123,52.3,40.6,8,29,33,11,7,1
2018-11-03,ATL,MIA,MIA,118,48.2,40.0,13,28,27,6,6,0
2018-11-03,CHA,CLE,CHA,126,57.1,33.3,12,38,29,3,7,1
2018-11-03,CHA,CLE,CLE,94,43.2,38.5,3,23,22,10,2,0
2018-11-03,CHI,HOU,CHI,88,39.4,26.1,4,33,15,13,4,0
2018-11-03,CHI,HOU,HOU,96,42.2,31.0,10,35,21,13,5,1
2018-11-03,DEN,UTA,DEN,103,49.4,32.1,8,40,32,8,0,1
2018-11-03,DEN,UTA,UTA,88,40.7,19.4,10,30,22,12,7,0
2018-11-03,IND,BOS,IND,102,41.9,34.4,8,37,23,10,2,1
2018-11-03,IND,BOS,BOS,101,43.2,41.3,10,35,23,6,8,0
2018-11-03,PHI,DET,PHI,109,40.6,31.0,3,42,21,11,3,1
2018-11-03,PHI,DET,DET,99,39.8,16.7,7,37,16,8,3,0
2018-11-03,POR,LAL,POR,110,42.3,17.1,16,34,20,10,5,0
2018-11-03,POR,LAL,LAL,114,52.3,38.1,9,41,20,9,11,1
2018-11-03,SAS,NOP,SAS,109,46.9,34.8,8,35,29,8,4,1
2018-11-03,SAS,NOP,NOP,95,46.8,28.6,6,42,22,3,8,0
2018-11-04,BKN,PHI,BKN,122,47.6,32.1,15,23,27,11,3,1
2018-11-04,BKN,PHI,PHI,97,47.7,20.0,9,37,16,6,1,0
2018-11-04,LAL,TOR,LAL,107,45.9,25.0,6,32,25,6,4,0
2018-11-04,LAL,TOR,TOR,121,50.0,28.6,13,36,32,9,4,1
2018-11-04,MIL,SAC,MIL,144,48.4,39.3,10,46,30,6,7,1
2018-11-04,MIL,SAC,SAC,109,44.2,38.9,8,36,24,6,4,0
2018-11-04,PHX,MEM,PHX,102,51.6,43.8,5,32,25,7,3,1
2018-11-04,PHX,MEM,MEM,100,47.4,30.4,9,21,19,13,3,0
2018-11-04,POR,MIN,POR,111,44.2,25.0,17,49,15,7,1,1
2018-11-04,POR,MIN,MIN,81,31.2,23.3,13,25,18,9,4,0
2018-11-04,SAS,ORL,SAS,110,43.2,34.3,10,33,25,3,5,0
2018-11-04,SAS,ORL,ORL,117,50.5,37.5,11,32,29,7,4,1
2018-11-04,WAS,NYK,WAS,108,43.4,23.1,15,32,21,12,11,1
2018-11-04,WAS,NYK,NYK,95,41.9,18.5,15,36,19,5,5,0
2018-11-05,DEN,BOS,DEN,115,45.6,38.2,15,32,25,5,4,1
2018-11-05,DEN,BOS,BOS,107,50.6,29.0,7,33,22,9,9,0
2018-11-05,DET,MIA,DET,115,41.0,31.4,21,39,27,8,3,0
2018-11-05,DET,MIA,MIA,120,44.9,38.7,9,41,24,10,8,1
2018-11-05,GSW,MEM,GSW,117,50.6,54.2,8,38,29,4,4,1
2018-11-05,GSW,MEM,MEM,101,45.8,33.3,4,26,31,8,8,0
2018-11-05,IND,HOU,IND,94,44.0,28.6,7,32,17,8,3,0
2018-11-05,IND,HOU,HOU,98,44.7,31.9,5,34,23,9,6,1
2018-11-05,LAC,MIN,LAC,120,48.9,45.2,13,30,30,5,4,1
2018-11-05,LAC,MIN,MIN,109,47.1,23.8,8,30,20,9,8,0
2018-11-05,NYK,CHI,NYK,115,38.7,26.9,21,41,20,7,6,0
2018-11-05,NYK,CHI,CHI,116,45.3,26.7,11,37,15,9,9,1
2018-11-05,OKC,NOP,OKC,122,48.4,37.0,9,32,26,15,3,1
2018-11-05,OKC,NOP,NOP,116,48.8,31.0,11,34,27,8,5,0
2018-11-05,ORL,CLE,ORL,102,44.8,32.4,10,30,22,11,5,1
2018-11-05,ORL,CLE,CLE,100,51.3,43.5,8,34,20,8,2,0
2018-11-05,UTA,TOR,UTA,111,44.2,25.8,12,28,29,10,4,0
2018-11-05,UTA,TOR,TOR,124,57.0,39.4,7,36,21,9,3,1
2018-11-06,CHA,ATL,CHA,113,48.9,41.9,8,35,27,9,4,1
2018-11-06,CHA,ATL,ATL,102,48.2,20.0,7,30,22,13,9,0
2018-11-06,DAL,WAS,DAL,119,47.6,44.1,10,40,25,4,6,1
2018-11-06,DAL,WAS,WAS,100,42.5,31.4,5,27,27,8,6,0
2018-11-06,PHX,BKN,PHX,82,34.6,36.0,9,40,16,4,3,0
2018-11-06,PHX,BKN,BKN,104,44.6,25.0,13,39,22,9,5,1
2018-11-06,POR,MIL,POR,118,52.7,39.5,11,40,23,7,3,1
2018-11-06,POR,MIL,MIL,103,43.5,38.1,12,30,26,2,1,0
2018-11-07,ATL,NYK,ATL,107,40.2,28.9,15,30,26,5,9,0
2018-11-07,ATL,NYK,NYK,112,44.2,36.7,11,37,15,8,7,1
2018-11-07,CLE,OKC,CLE,86,37.1,29.0,12,39,17,3,4,0
2018-11-07,CLE,OKC,OKC,95,41.7,25.9,7,37,10,13,9,1
2018-11-07,IND,PHI,IND,94,39.4,25.8,8,33,19,9,6,0
2018-11-07,IND,PHI,PHI,100,45.6,31.3,5,38,24,7,8,1
2018-11-07,LAL,MIN,LAL,114,48.4,44.1,12,35,32,6,4,1
2018-11-07,LAL,MIN,MIN,110,45.1,50.0,11,29,22,10,5,0
2018-11-07,MEM,DEN,MEM,89,42.9,38.1,8,28,19,7,7,1
2018-11-07,MEM,DEN,DEN,87,39.0,25.0,13,28,19,9,3,0
2018-11-07,MIA,SAS,MIA,95,38.7,31.3,14,46,21,8,11,1
2018-11-07,MIA,SAS,SAS,88,33.0,40.6,12,37,19,8,5,0
2018-11-07,NOP,CHI,NOP,107,44.7,36.7,11,44,32,5,10,1
2018-11-07,NOP,CHI,CHI,98,39.6,29.0,7,39,18,9,7,0
2018-11-07,ORL,DET,ORL,96,46.0,33.3,6,34,28,10,8,0
2018-11-07,ORL,DET,DET,103,41.1,29.7,13,37,21,13,1,1
2018-11-07,SAC,TOR,SAC,105,47.7,34.8,6,25,27,10,5,0
2018-11-07,SAC,TOR,TOR,114,46.1,30.6,13,40,17,10,4,1
2018-11-07,UTA,DAL,UTA,117,48.3,35.1,8,27,31,12,10,1
2018-11-07,UTA,DAL,DAL,102,39.7,33.3,12,37,14,3,4,0
2018-11-08,GSW,MIL,GSW,111,48.3,35.7,8,30,31,5,6,0
2018-11-08,GSW,MIL,MIL,134,51.5,25.7,13,33,33,11,7,1
2018-11-08,OKC,HOU,OKC,98,44.4,24.3,13,39,18,10,4,1
2018-11-08,OKC,HOU,HOU,80,37.8,26.2,12,27,16,9,3,0
2018-11-08,PHX,BOS,PHX,109,44.1,31.4,4,38,25,10,6,0
2018-11-08,PHX,BOS,BOS,116,40.2,37.8,17,39,21,6,6,1
2018-11-08,POR,LAC,POR,116,41.2,38.5,14,39,18,4,8,1
2018-11-08,POR,LAC,LAC,105,46.1,34.8,7,34,19,2,10,0
2018-11-09,ATL,DET,ATL,109,45.6,25.0,9,44,17,6,2,0
2018-11-09,ATL,DET,DET,124,47.4,42.6,10,34,30,10,6,1
2018-11-09,DEN,BKN,DEN,110,46.0,27.8,15,39,20,3,5,0
2018-11-09,DEN,BKN,BKN,112,40.9,36.4,12,30,21,7,9,1
2018-11-09,MIA,IND,MIA,102,45.0,51.9,9,29,27,6,6,0
2018-11-09,MIA,IND,IND,110,54.4,35.0,6,33,20,10,5,1
2018-11-09,ORL,WAS,ORL,117,51.2,41.9,10,31,26,8,6,1
2018-11-09,ORL,WAS,WAS,108,51.2,40.7,6,29,24,8,3,0
