gameid,date,type,teamid,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,season,game_id
21900462,2019-12-26,regular,1610612760,OKC,OKC,MEM,48,0.2685185185185186,38,92,0.3444976076555023,10,35,0.273202614379085,11,13,84.6,0.24137931034482757,0.25,34,0.3571428571428571,9.0,0.5,0.2,14,-13.0,0,2020,2019-12-26_OKC_MEM
21900462,2019-12-26,regular,1610612763,MEM,OKC,MEM,48,0.38888888888888884,46,84,0.6674641148325358,10,25,0.4222222222222223,8,11,72.7,0.27586206896551724,0.5909090909090909,50,0.4285714285714286,16.0,0.2727272727272727,0.4,14,13.0,1,2020,2019-12-26_OKC_MEM
21900464,2019-12-26,regular,1610612758,SAC,SAC,MIN,58,0.33333333333333337,37,107,0.1842105263157895,9,39,0.2013071895424837,21,25,84.0,0.5517241379310345,0.7954545454545455,67,0.2857142857142857,12.0,0.36363636363636365,0.4,23,-1.0,0,2020,2019-12-26_SAC_MIN
21900464,2019-12-26,regular,1610612750,MIN,SAC,MIN,58,0.34259259259259267,36,104,0.1842105263157895,10,46,0.1830065359477124,23,29,79.3,0.48275862068965514,0.7954545454545455,65,0.3571428571428571,15.0,0.3181818181818182,0.25,20,1.0,1,2020,2019-12-26_SAC_MIN
21900465,2019-12-26,regular,1610612762,UTA,UTA,POR,48,0.4907407407407407,46,81,0.7153110047846889,14,36,0.40784313725490196,15,22,68.2,0.24137931034482757,0.40909090909090906,41,0.33333333333333326,11.0,0.13636363636363635,0.05,18,6.0,1,2020,2019-12-26_UTA_POR
21900465,2019-12-26,regular,1610612757,POR,UTA,POR,48,0.4351851851851851,43,89,0.5119617224880382,15,34,0.4758169934640524,14,19,73.7,0.3793103448275862,0.36363636363636365,43,0.14285714285714285,12.0,0.18181818181818182,0.05,21,-6.0,0,2020,2019-12-26_UTA_POR
21900469,2019-12-27,regular,1610612737,ATL,ATL,MIL,48,0.16666666666666674,33,91,0.22488038277511957,12,41,0.2823529411764706,8,14,57.1,0.27586206896551724,0.5,46,0.2857142857142857,18.0,0.4545454545454546,0.4,18,-26.0,0,2020,2019-12-27_ATL_MIL
21900469,2019-12-27,regular,1610612749,MIL,ATL,MIL,48,0.40740740740740744,46,91,0.5645933014354068,11,28,0.4130718954248366,9,13,69.2,0.20689655172413793,0.7727272727272728,56,0.5,18.0,0.4090909090909091,0.4,13,26.0,1,2020,2019-12-27_ATL_MIL
21900466,2019-12-27,regular,1610612738,BOS,BOS,CLE,48,0.5648148148148149,49,95,0.5909090909090908,14,40,0.3568627450980393,17,19,89.5,0.41379310344827586,0.34090909090909094,43,0.47619047619047616,11.0,0.18181818181818182,0.5,23,12.0,1,2020,2019-12-27_BOS_CLE
21900466,2019-12-27,regular,1610612739,CLE,BOS,CLE,48,0.4537037037037037,44,85,0.595693779904306,9,23,0.4104575163398694,20,29,69.0,0.20689655172413793,0.36363636363636365,38,0.33333333333333326,11.0,0.3181818181818182,0.15000000000000002,17,-12.0,0,2020,2019-12-27_BOS_CLE
21900467,2019-12-27,regular,1610612766,CHA,CHA,OKC,53,0.3148148148148149,42,101,0.35167464114832536,7,39,0.13333333333333333,11,18,61.1,0.5862068965517241,0.4772727272727273,54,0.4285714285714286,15.0,0.36363636363636365,0.2,27,-2.0,0,2020,2019-12-27_CHA_OKC
21900467,2019-12-27,regular,1610612760,OKC,CHA,OKC,53,0.33333333333333337,40,89,0.430622009569378,5,31,0.10980392156862748,19,31,61.3,0.3448275862068966,0.5227272727272727,49,0.26190476190476186,14.0,0.36363636363636365,0.2,23,2.0,1,2020,2019-12-27_CHA_OKC
21900471,2019-12-27,regular,1610612744,GSW,GSW,PHX,48,0.34259259259259267,38,92,0.3444976076555023,9,27,0.3346405228758169,20,25,80.0,0.3793103448275862,0.31818181818181823,41,0.33333333333333326,11.0,0.4545454545454546,0.25,17,9.0,1,2020,2019-12-27_GSW_PHX
21900471,2019-12-27,regular,1610612756,PHX,GSW,PHX,48,0.2592592592592593,35,75,0.47368421052631593,7,33,0.17647058823529413,19,24,79.2,0.3793103448275862,0.5,49,0.33333333333333326,27.0,0.2727272727272727,0.05,21,-9.0,0,2020,2019-12-27_GSW_PHX
21900470,2019-12-27,regular,1610612748,MIA,MIA,IND,48,0.41666666666666674,40,89,0.430622009569378,16,38,0.44967320261437915,17,19,89.5,0.48275862068965514,0.5909090909090909,56,0.5,13.0,0.13636363636363635,0.1,12,1.0,1,2020,2019-12-27_MIA_IND
21900470,2019-12-27,regular,1610612754,IND,MIA,IND,48,0.40740740740740744,44,90,0.5263157894736841,14,31,0.4901960784313726,10,12,83.3,0.06896551724137931,0.36363636363636365,34,0.45238095238095233,4.0,0.36363636363636365,0.2,16,-1.0,0,2020,2019-12-27_MIA_IND
21900468,2019-12-27,regular,1610612753,ORL,ORL,PHI,48,0.2777777777777778,37,88,0.36124401913875603,10,30,0.3346405228758169,14,23,60.9,0.3448275862068966,0.5,48,0.4285714285714286,16.0,0.18181818181818182,0.25,21,1.0,1,2020,2019-12-27_ORL_PHI
21900468,2019-12-27,regular,1610612755,PHI,ORL,PHI,48,0.2685185185185186,35,87,0.31818181818181823,10,29,0.3503267973856209,17,21,81.0,0.24137931034482757,0.5,45,0.3571428571428571,16.0,0.4545454545454546,0.15000000000000002,22,-1.0,0,2020,2019-12-27_ORL_PHI
21900473,2019-12-28,regular,1610612738,BOS,BOS,TOR,48,0.2685185185185186,31,78,0.30622009569377995,7,32,0.18562091503267972,28,36,77.8,0.24137931034482757,0.18181818181818177,31,0.23809523809523808,15.0,0.5,0.2,17,-16.0,0,2020,2019-12-28_BOS_TOR
21900473,2019-12-28,regular,1610612761,TOR,BOS,TOR,48,0.41666666666666674,44,84,0.6100478468899522,14,34,0.43790849673202625,11,17,64.7,0.5172413793103449,0.5,53,0.45238095238095233,22.0,0.36363636363636365,0.15000000000000002,32,16.0,1,2020,2019-12-28_BOS_TOR
21900477,2019-12-28,regular,1610612741,CHI,CHI,ATL,48,0.4444444444444444,43,87,0.5382775119617225,15,31,0.5320261437908497,15,19,78.9,0.4482758620689655,0.5,51,0.33333333333333326,17.0,0.5909090909090909,0.25,15,35.0,1,2020,2019-12-28_CHI_ATL
21900477,2019-12-28,regular,1610612737,ATL,CHI,ATL,48,0.12037037037037046,32,86,0.24641148325358864,9,34,0.2457516339869281,8,11,72.7,0.3103448275862069,0.31818181818181823,39,0.38095238095238093,21.0,0.36363636363636365,0.25,16,-35.0,0,2020,2019-12-28_CHI_ATL
21900472,2019-12-28,regular,1610612743,DEN,DEN,MEM,48,0.4722222222222223,45,93,0.5143540669856459,9,29,0.30457516339869284,20,27,74.1,0.3448275862068966,0.38636363636363635,43,0.47619047619047616,10.0,0.4090909090909091,0.2,20,9.0,1,2020,2019-12-28_DEN_MEM
21900472,2019-12-28,regular,1610612763,MEM,DEN,MEM,48,0.38888888888888884,41,84,0.5239234449760763,9,30,0.2915032679738562,19,25,76.0,0.3793103448275862,0.40909090909090906,45,0.5714285714285714,17.0,0.2272727272727273,0.25,24,-9.0,0,2020,2019-12-28_DEN_MEM
21900482,2019-12-28,regular,1610612744,GSW,GSW,DAL,48,0.4907407407407407,45,93,0.5143540669856459,18,39,0.5032679738562092,13,17,76.5,0.3103448275862069,0.38636363636363635,42,0.47619047619047616,13.0,0.18181818181818182,0.15000000000000002,19,-20.0,0,2020,2019-12-28_GSW_DAL
21900482,2019-12-28,regular,1610612742,DAL,GSW,DAL,48,0.675925925925926,48,92,0.605263157894737,24,51,0.5150326797385621,21,21,100.0,0.3103448275862069,0.4772727272727273,46,0.6428571428571428,13.0,0.5,0.35000000000000003,17,20.0,1,2020,2019-12-28_GSW_DAL
