home_team,away_team,PTS_home,FG%_home,3P%_home,FT%_home,OREB_home,DREB_home,AST_home,STL_home,BLK_home,PTS_away,FG%_away,3P%_away,FT%_away,OREB_away,DREB_away,AST_away,STL_away,BLK_away,winner
HOU,SAC,122,57.3,48.4,77.8,5,34,28,8,4,97,44.4,35.0,55.0,12,22,22,5,2,HOU
BOS,MIN,109,39.1,28.2,76.5,11,34,20,13,2,114,51.8,35.1,52.0,6,39,26,7,5,MIN
ATL,OKC,117,37.3,33.3,84.4,25,34,27,8,3,126,47.9,40.0,95.7,11,38,27,7,7,OKC
DEN,NOP,134,53.7,38.5,73.9,11,34,37,6,5,116,50.0,43.3,86.7,8,30,24,6,2,DEN
CHA,WAS,116,51.9,32.0,74.3,11,36,17,8,5,132,48.5,41.9,80.0,13,27,26,10,6,WAS
IND,UTA,134,51.5,31.7,85.0,14,32,26,14,7,118,46.9,40.7,94.4,16,31,26,3,5,IND
BOS,PHI,103,39.6,31.9,84.2,9,34,28,8,6,106,44.2,26.5,86.7,12,44,20,7,7,PHI
BKN,LAC,100,40.2,36.6,84.6,14,35,22,10,10,93,39.6,22.2,100.0,11,40,22,10,8,BKN
NYK,SAS,126,46.0,45.2,68.2,13,34,28,7,0,105,48.9,26.5,61.5,11,35,31,2,7,NYK
CHI,PHX,115,43.8,42.4,73.9,9,30,30,12,7,116,42.2,39.6,84.0,13,41,32,7,10,PHX
HOU,LAL,128,54.8,42.4,63.2,14,43,26,4,4,94,42.4,28.0,62.5,5,29,20,7,6,HOU
MEM,MIA,102,38.9,29.7,75.0,13,25,20,10,4,108,45.5,39.3,84.4,9,35,22,9,8,MIA
DET,MIL,118,49.0,24.1,93.8,11,42,28,2,5,120,45.6,29.7,84.4,5,31,19,8,7,MIL
MIN,NOP,122,54.9,40.5,70.8,8,40,30,9,7,101,38.7,28.6,95.5,11,29,23,6,1,MIN
CLE,OKC,120,50.6,31.0,73.0,11,30,26,9,5,128,51.2,42.9,93.3,12,29,23,10,8,OKC
DAL,TOR,116,47.6,41.5,61.3,6,32,25,4,6,127,49.5,30.6,66.7,15,35,27,10,4,TOR
DEN,GSW,108,44.6,31.4,68.2,10,35,24,7,4,105,43.0,31.4,76.9,11,38,21,5,0,DEN
POR,SAC,118,50.6,36.4,75.9,7,29,26,10,5,121,46.1,29.7,73.7,15,35,32,11,6,SAC
IND,MIL,126,47.8,41.7,90.0,9,31,27,6,6,124,52.9,33.3,88.5,5,36,23,6,5,IND
ATL,ORL,120,48.2,38.5,76.7,8,28,22,13,7,119,46.7,37.0,71.4,18,29,19,12,6,ATL
DET,PHI,106,46.5,28.6,81.8,11,37,28,3,5,114,42.2,32.1,85.4,11,35,23,13,5,PHI
CHA,WAS,124,45.5,21.4,64.3,28,39,31,10,4,117,48.9,36.8,85.0,7,29,28,4,6,CHA
BKN,BOS,107,44.7,40.5,88.9,9,37,26,0,3,121,43.6,36.5,71.4,17,35,29,5,3,BOS
HOU,NOP,104,40.9,28.6,78.6,9,33,20,9,5,101,45.3,32.0,73.5,8,41,12,6,6,HOU
MEM,UTA,121,45.5,39.6,76.9,14,23,23,5,5,127,53.9,48.6,93.1,8,30,28,10,12,UTA
MIN,SAS,117,49.4,37.0,77.8,13,38,23,6,4,110,46.7,35.3,63.2,7,31,29,9,8,MIN
DAL,LAC,144,52.0,45.2,88.5,15,26,30,7,1,126,48.9,29.6,88.9,19,28,21,7,2,DAL
LAL,PHX,122,50.0,44.4,76.5,9,34,27,9,7,119,44.7,40.5,74.1,17,35,22,9,1,LAL
OKC,SAC,98,44.8,23.3,81.3,5,33,22,9,5,105,41.8,27.7,76.2,16,36,28,10,9,SAC
MIL,ORL,97,49.4,31.0,48.0,5,31,25,9,6,112,42.9,38.5,85.7,15,28,24,9,2,ORL
BOS,TOR,117,54.7,34.1,61.5,5,41,30,1,4,94,38.5,27.0,87.5,7,30,25,8,1,BOS
ATL,MIA,109,43.7,39.1,83.3,15,33,23,6,6,117,48.8,31.6,92.0,7,32,23,10,4,MIA
CLE,GSW,118,43.0,36.7,76.7,11,34,23,13,3,110,41.1,34.2,76.7,15,40,26,5,3,CLE
CHA,NYK,107,46.8,34.3,63.6,15,21,21,5,4,129,54.0,41.7,66.7,10,30,25,8,4,NYK
BKN,WAS,102,37.8,24.5,80.0,20,46,22,6,6,94,37.5,24.4,72.0,7,35,20,14,3,BKN
LAC,MEM,101,43.5,35.3,65.2,8,33,26,9,3,105,42.0,31.7,75.0,11,30,25,7,6,MEM
IND,PHI,126,52.2,41.0,84.2,8,24,31,8,9,137,50.5,42.4,85.0,23,31,28,5,7,PHI
CHI,DET,119,48.4,36.7,80.0,11,29,22,12,6,108,43.2,34.4,80.8,16,33,26,4,6,CHI
DEN,HOU,104,46.2,28.1,78.6,12,37,24,3,5,107,42.5,31.3,79.3,12,33,20,7,4,HOU
DAL,NOP,136,49.0,37.7,76.2,8,34,29,7,6,124,51.1,47.2,59.1,13,41,31,2,3,DAL
MIA,SAS,118,43.8,38.7,93.3,11,30,26,7,3,113,46.2,43.2,83.3,11,39,35,3,6,MIA
OKC,PHX,111,48.8,37.0,84.0,6,27,23,9,8,99,38.6,31.0,83.9,16,35,20,4,7,OKC
GSW,MIN,110,38.5,27.9,85.7,19,32,24,9,0,116,52.4,33.3,70.0,9,38,27,8,6,MIN
LAL,POR,116,48.8,21.1,81.1,7,34,27,8,4,110,50.0,35.1,77.8,5,33,29,2,8,LAL
BOS,NYK,114,50.6,44.2,93.8,8,29,27,3,3,98,41.8,42.9,70.8,12,25,17,5,2,BOS
TOR,WAS,111,50.0,20.0,68.0,16,32,28,11,4,107,51.2,46.2,75.0,8,30,32,11,5,TOR
CHI,MIL,109,38.0,33.3,90.5,18,29,24,9,7,118,47.2,31.9,70.4,13,40,23,3,5,MIL
CLE,SAC,120,49.5,45.7,82.4,14,25,24,3,1,132,59.0,47.6,63.6,8,29,32,3,4,SAC
CHA,MIA,105,44.4,46.9,81.8,13,32,21,6,0,111,48.2,25.8,82.1,10,32,26,12,5,MIA
ATL,DET,126,51.7,36.4,92.3,10,31,28,9,7,120,52.2,34.5,69.6,14,28,36,9,6,ATL
IND,PHI,132,51.6,35.1,69.7,10,31,32,7,5,126,50.0,27.3,97.1,5,33,22,5,3,IND
BKN,ORL,124,54.1,48.7,65.0,13,31,22,13,3,104,43.9,34.8,76.2,9,28,23,9,4,BKN
OKC,SAS,123,51.7,38.5,80.0,4,36,34,19,6,87,38.7,30.0,66.7,13,30,24,7,6,OKC
DAL,NOP,110,42.2,33.3,76.9,16,29,25,4,3,131,52.1,36.8,73.1,12,30,33,17,6,NOP
POR,UTA,99,42.0,31.4,70.0,13,30,23,5,6,115,46.3,30.2,93.3,16,36,26,11,6,UTA
DEN,LAC,111,53.4,34.8,78.1,6,30,26,4,2,108,43.0,44.8,87.5,14,28,21,10,1,DEN
GSW,MIN,101,42.0,33.3,87.5,13,33,28,11,2,104,44.4,41.2,85.7,9,33,24,9,5,MIN
LAL,MEM,134,58.0,62.9,75.0,10,44,30,4,10,107,36.8,37.7,75.0,13,20,28,8,9,LAL
DAL,WAS,130,52.2,40.5,58.6,9,37,32,6,4,117,48.3,33.3,82.6,8,38,23,6,1,DAL
ATL,NYK,114,54.7,38.7,76.9,6,24,28,11,6,116,47.9,47.1,90.9,14,28,29,9,2,NYK
BOS,PHI,117,47.7,36.0,78.9,12,33,23,7,8,107,45.9,36.7,81.8,10,31,18,5,1,BOS
MIL,TOR,128,51.8,51.3,95.2,9,32,25,8,9,112,39.6,27.3,87.1,26,29,28,10,8,MIL
CHI,ORL,94,39.8,27.3,86.4,14,39,16,7,4,96,39.0,28.6,80.0,12,34,20,12,3,ORL
MIN,PHX,115,45.7,18.5,92.9,16,24,18,8,5,133,60.0,54.8,93.3,5,27,31,1,4,PHX
LAL,SAC,110,50.6,37.9,78.9,7,36,25,12,6,125,50.0,36.4,76.5,11,34,31,20,1,SAC
CLE,POR,109,56.0,30.0,76.2,7,40,23,5,9,95,37.4,34.2,87.5,8,22,24,9,3,CLE
BKN,MIA,115,47.1,38.9,77.8,10,30,29,5,3,122,51.9,42.9,95.8,7,25,26,8,3,MIA
GSW,OKC,109,40.8,34.1,78.9,20,29,27,5,4,128,50.6,59.4,91.3,7,35,31,10,3,OKC
CHA,MIL,99,40.7,23.1,86.4,9,34,18,5,2,130,55.1,48.9,76.9,4,45,32,4,7,MIL
NYK,WAS,120,49.5,42.1,70.0,14,34,26,5,6,99,45.1,31.3,93.8,7,25,25,4,4,NYK
ATL,PHI,116,44.9,36.4,80.0,14,25,24,8,4,126,48.9,43.3,96.4,13,30,32,9,4,PHI
CLE,DET,108,51.2,42.9,71.4,7,32,21,9,6,100,42.9,25.7,86.7,18,33,20,8,6,CLE
BOS,TOR,108,45.7,34.8,88.9,8,36,29,5,4,105,48.3,36.4,64.3,5,36,29,4,1,BOS
SAC,SAS,129,54.1,42.9,79.2,4,38,31,10,2,120,46.7,41.7,82.6,6,36,33,7,3,SAC
CHI,ORL,97,44.3,34.5,77.3,5,29,19,10,3,103,48.1,32.4,69.6,10,36,24,7,7,ORL
DEN,NOP,110,49.0,25.0,50.0,11,40,37,4,3,115,52.3,52.2,52.4,4,35,33,8,5,NOP
PHX,UTA,131,52.3,54.5,88.5,5,31,35,5,4,128,50.6,44.4,83.9,10,29,27,3,10,PHX
LAL,POR,107,49.4,41.4,68.2,11,33,27,11,6,95,40.4,27.0,72.2,19,29,17,11,2,LAL
HOU,LAC,100,43.2,32.3,70.0,12,35,24,6,5,106,43.4,38.2,70.0,8,39,22,10,7,LAC
CHA,NYK,108,48.8,48.6,84.6,4,32,29,5,5,122,50.5,43.2,73.7,13,34,27,7,4,NYK
MIN,NOP,121,53.8,41.9,81.5,5,28,29,6,7,120,51.2,41.4,87.0,13,27,27,9,5,MIN
CHI,MIA,102,44.4,35.6,73.7,10,34,24,9,6,97,42.9,33.3,82.6,5,29,23,9,0,CHI
DAL,MIL,125,49.5,34.0,70.0,11,38,27,1,2,132,52.1,37.8,85.0,5,36,29,8,3,MIL
MEM,SAS,120,46.5,33.3,80.6,12,33,23,7,3,108,43.4,37.5,80.8,12,28,26,5,9,MEM
GSW,OKC,123,45.4,39.1,81.0,14,35,33,6,4,130,52.0,34.8,90.0,9,38,26,8,7,OKC
BKN,PHI,99,46.9,39.3,75.0,9,36,24,2,8,121,46.8,45.7,94.4,10,34,32,8,4,PHI
IND,ORL,116,44.2,25.8,77.4,11,29,24,10,7,128,49.4,35.0,83.3,8,34,21,10,10,ORL
CLE,DEN,121,54.9,40.7,76.9,11,36,30,6,5,109,47.6,48.3,73.9,9,24,23,7,5,CLE
DET,TOR,113,47.0,34.6,74.3,7,34,25,3,3,142,53.9,38.9,62.1,12,35,44,10,5,TOR
DAL,SAC,113,46.6,35.3,73.1,11,29,23,8,2,129,53.3,42.5,76.2,14,34,34,9,3,SAC
BOS,MEM,102,45.5,38.7,80.0,9,36,20,6,10,100,38.9,38.6,90.0,14,28,28,7,5,BOS
PHX,UTA,140,49.0,40.0,84.6,11,33,36,11,13,137,41.7,32.6,81.3,27,32,27,11,5,PHX
OKC,POR,134,60.5,61.1,100.0,10,33,28,8,3,91,40.0,26.5,66.7,13,18,21,10,2,OKC
HOU,LAL,104,48.8,37.8,80.0,6,28,35,7,3,105,47.0,20.7,72.4,10,32,26,13,1,LAL
BOS,CHA,118,43.3,32.0,64.3,11,37,19,6,8,121,44.2,33.3,94.1,17,40,29,9,7,CHA
DEN,DET,107,46.0,39.3,76.2,11,32,30,7,8,103,44.4,33.3,92.3,11,32,21,7,5,DEN
MIL,WAS,142,58.5,37.9,75.0,16,39,33,3,6,129,55.6,34.5,81.8,5,21,29,6,4,MIL
CHI,MIA,100,45.7,29.7,93.8,7,29,21,2,7,118,50.0,48.6,85.0,9,34,31,7,1,MIA
MIN,NYK,117,51.3,32.4,75.0,7,37,30,7,7,100,34.8,23.7,79.4,17,33,16,8,3,MIN
NOP,SAC,129,54.3,42.9,81.0,10,45,38,8,6,93,37.9,24.4,66.7,9,27,27,4,5,NOP
LAC,SAS,124,47.4,33.3,88.0,10,41,30,15,3,99,43.3,26.3,78.6,13,36,23,4,7,LAC
GSW,HOU,121,46.8,48.8,84.8,8,35,26,3,1,116,46.3,31.7,78.9,15,33,28,6,3,GSW
ORL,TOR,126,50.0,38.7,70.0,15,25,31,12,8,107,50.7,50.0,77.3,5,33,29,6,6,ORL
